rank_name,position,seat,seat_span,row_letter,seat_number,title,name,full_text
ĐẠI TÁ NGUYỄN VĂN HÒA,PHÓ TMT QUÂN KHU,G3,,G,3,ĐẠI TÁ,NGUYỄN VĂN HÒA,ĐẠI TÁ | NGUYỄN VĂN HÒA | PHÓ TMT | QUÂN KHU
ĐẠI TÁ NGUYỄN THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,G5,,G,5,ĐẠI TÁ,NGUYỄN THANH XUÂN,ĐẠI TÁ | NGUYỄN THANH XUÂN | PHÓ CN CHÍNH TRỊ | QUÂN KHU
ĐẠI TÁ TẠ KÍNH,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,G7,,G,7,ĐẠI TÁ,TẠ KÍNH,ĐẠI TÁ | TẠ KÍNH | NGUYÊN PHÓ CN | CHÍNH TRỊ QUÂN KHU
ĐẠI TÁ KHÚC NGỌC PHƯƠNG,NGUYÊN PHÓ TMT QUÂN KHU,G9,,G,9,ĐẠI TÁ,KHÚC NGỌC PHƯƠNG,ĐẠI TÁ | KHÚC NGỌC PHƯƠNG | NGUYÊN PHÓ TMT | QUÂN KHU
ĐẠI TÁ DƯƠNG HỮU QUYÊN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK,G11,,G,11,ĐẠI TÁ,DƯƠNG HỮU QUYÊN,ĐẠI TÁ | DƯƠNG HỮU QUYÊN | NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK
ĐẠI TÁ LÊ XUÂN THỊNH,NGUYÊN PHÓ TMT QUÂN KHU,G13,,G,13,ĐẠI TÁ,LÊ XUÂN THỊNH,ĐẠI TÁ | LÊ XUÂN THỊNH | NGUYÊN PHÓ TMT | QUÂN KHU
ĐẠI TÁ ĐOÀN HỒNG CHƯƠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G15,,G,15,ĐẠI TÁ,ĐOÀN HỒNG CHƯƠNG,ĐẠI TÁ | ĐOÀN HỒNG CHƯƠNG | NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU
ĐẠI TÁ PHAN VĂN HẠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G17,,G,17,ĐẠI TÁ,PHAN VĂN HẠNG,ĐẠI TÁ | PHAN VĂN HẠNG | NGUYÊN PHÓ CHỦ NHIỆM | CHÍNH TRỊ QUÂN KHU
ĐẠI TÁ TRỊNH VĂN TÂM,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,G19,,G,19,ĐẠI TÁ,TRỊNH VĂN TÂM,ĐẠI TÁ | TRỊNH VĂN TÂM | NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU
ĐẠI BIỂU LÃNH ĐẠO THÔNG TẤN XÃ,VIỆT NAM,H20,,H,20,ĐẠI BIỂU LÃNH ĐẠO,THÔNG TẤN XÃ,ĐẠI BIỂU LÃNH ĐẠO | THÔNG TẤN XÃ | VIỆT NAM
ĐẠI TÁ NGUYỄN THIỆN THANH,PHÓ CHÍNH ỦY BINH CHỦNG TĂNG-THIẾT GIÁP,H18,,H,18,ĐẠI TÁ,NGUYỄN THIỆN THANH,ĐẠI TÁ | NGUYỄN THIỆN THANH | PHÓ CHÍNH ỦY BINH CHỦNG TĂNG-THIẾT GIÁP
ĐẠI TÁ KHỔNG MẠNH HƯNG,PHÓ CHÍNH ỦY BINH CHỦNG CÔNG BINH,H16,,H,16,ĐẠI TÁ,KHỔNG MẠNH HƯNG,ĐẠI TÁ | KHỔNG MẠNH HƯNG | PHÓ CHÍNH ỦY | BINH CHỦNG CÔNG BINH
