rank_name,position,seat
THIẾU TƯỚNG NGUYỄN ĐỨC LIÊN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F17
THIẾU TƯỚNG HÀ HUY LONG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F19
THIẾU TƯỚNG NGUYỄN VĂN THANH,PHÓ TƯ LỆNH CẢNH VỆ/BỘ CÔNG AN,F2
ĐỒNG CHÍ LÊ NGỌC QUANG,PHÓ VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II VĂN PHÒNG TWĐ,F4
ĐẠI BIỂU VĂN PHÒNG QUÂN ỦY TW-BQP,,F6
ĐẠI BIỂU ỦY BAN KIỂM TRA QUÂN ỦY TW,,F8
ĐẠI BIỂU HỌC VIỆN QUỐC PHÒNG,,F10
ĐẠI BIỂU HỌC VIỆN LỤC QUÂN,,F12
ĐẠI BIỂU HỌC VIỆN CHÍNH TRỊ,,F14
ĐẠI BIỂU BTL BỘ ĐỘI BIÊN PHÒNG,,F16
ĐẠI BIỂU BỘ TƯ LỆNH CẢNH SÁT BIỂN,,F18
ĐẠI BIỂU QUÂN CHỦNG HẢI QUÂN,,F20
ĐẠI TÁ LÊ KIM GIÀU,PHÓ TMT QUÂN KHU,G1
ĐẠI TÁ NGUYỄN TẤN Ý,PHÓ TMT QUÂN KHU,G3
ĐẠI TÁ CAO VĂN MƯỜI,PHÓ TMT QUÂN KHU,G5
ĐẠI TÁ NGUYỄN THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,G7
ĐẠI TÁ PHẠM ĐỚI,NGUYÊN PHÓ TMT QUÂN KHU,G9
ĐẠI TÁ TRẦN VĂN HẠNH,NGUYÊN PHÓ TMT QUÂN KHU,G11
ĐẠI TÁ KHÚC NGỌC PHƯƠNG,NGUYÊN PHÓ TMT QUÂN KHU,G13
ĐẠI TÁ TRƯƠNG QUANG NHẠN,NGUYÊN PHÓ TMT QUÂN KHU,G15
ĐẠI TÁ ĐỖ TRỌNG BÌNH,NGUYÊN PHÓ TMT QUÂN KHU,G17
THIẾU TƯỚNG ĐỖ QUANG DỰ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,G19
ĐẠI BIỂU PHÒNG CẢNH VỆ MIỀN TRUNG/BTL CẢNH VỆ,,G2
ĐỒNG CHÍ VŨ NHẬT CHUNG,PHÓ VỤ TRƯỞNG VỤ THAM MƯU TH VĂN PHÒNG TWĐ,G4
ĐẠI BIỂU CỤC KHOA HỌC QUÂN SỰ BỘ QUỐC PHÒNG,,G6
ĐẠI BIỂU CỤC ĐỐI NGOẠI,,G8
ĐẠI BIỂU BTL BINH CHỦNG ĐẶC CÔNG,,G10
ĐẠI BIỂU BTL BINH CHỦNG TĂNG THIẾT GIÁP,,G12
ĐẠI BIỂU BTL BINH CHỦNG CÔNG BINH,,G14
ĐẠI BIỂU BTL BINH CHỦNG THÔNG TIN LIÊN LẠC,,G16
ĐẠI BIỂU BTL BINH CHỦNG HÓA HỌC,,G18
ĐẠI BIỂU BTL BINH CHỦNG PHÁO BINH TÊN LỬA,,G20
ĐẠI TÁ ĐỖ XUÂN HÙNG,PHÓ TMT QUÂN KHU,H1
ĐẠI TÁ LÊ THÀNH TÔN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,H3
ĐẠI TÁ HỒ ANH TUẤN,PHÓ CN CHÍNH TRỊ QUÂN KHU,H5
ĐẠI TÁ DƯƠNG HOÀNG TOÁN,PHÓ CN CHÍNH TRỊ QUÂN KHU,H7
ĐẠI TÁ LÊ XUÂN THỊNH,NGUYÊN PHÓ TMT QUÂN KHU,H9
ĐẠI TÁ NGUYỄN VĂN CHƯỚC,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H11
ĐẠI TÁ TRƯƠNG VĂN GÒN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK,H13
ĐẠI TÁ TẠ KÍNH,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H15
ĐẠI TÁ DƯƠNG HỮU QUYÊN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,H17
ĐẠI TÁ ĐOÀN HỒNG CHƯƠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H19
ĐỒNG CHÍ BÙI QUỐC KHÁNH,SĨ QUAN BIỆT PHÁI VỤ THAM MƯU TH VĂN PHÒNG TWĐ,H2
ĐẠI BIỂU CỤC THI HÀNH ÁN,BỘ QUỐC PHÒNG,H4
ĐẠI BIỂU CỤC TUYÊN HUẤN TCCT,,H6
THIẾU TƯỚNG TRẦN TRUNG THIẾT,PHÓ CỤC TRƯỞNG CỤC TUYÊN HUẤN/TCCT,H8
ĐẠI BIỂU CỤC TÀI CHÍNH,BỘ QUỐC PHÒNG,H10
ĐẠI BIỂU CỤC ĐT - HS,BỘ QUỐC PHÒNG,H12
ĐẠI BIỂU THANH TRA,BỘ QUỐC PHÒNG,H14
ĐẠI BIỂU VIỆN KIỂM SÁT QUÂN SỰ TRUNG ƯƠNG,,H16
ĐẠI BIỂU TÒA ÁN QUÂN SỰ TRUNG ƯƠNG,,H18
ĐẠI BIỂU BTL TÁC CHIẾN KHÔNG GIAN MẠNG,,H20
ĐẠI TÁ TRẦN KIM QUYỀN,CHÍNH ỦY CỤC HC-KT,I1
ĐẠI TÁ VÕ TẤN KHANH,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,I3
ĐẠI TÁ TRẦN VĂN THIÊN,PHÓ CHỦ NHIỆM HC - KT QUÂN KHU,I5
