rank_name,position,seat
ĐỒNG CHÍ CAO HOÀNG SƠN,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN TỔ CHỨC TW,E2
THIẾU TƯỚNG LƯU XUÂN PHƯƠNG,PHÓ TMT QUÂN KHU,E3
ĐỒNG CHÍ NGUYỄN ĐỨC CUNG,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II VĂN PHÒNG TWĐ,E4
THIẾU TƯỚNG TỐNG PHÚ,PHÓ GIÁM ĐỐC HỌC VIỆN LỤC QUÂN,E5
ĐỒNG CHÍ ĐOÀN HỒNG NGỌC,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN NỘI CHÍNH TW,E6
TRUNG TƯỚNG TRƯƠNG ĐỨC NGHĨA,NGUYÊN PHÓ GIÁM ĐỐC HỌC VIỆN QUỐC PHÒNG,E7
THIẾU TƯỚNG HÀ TẤT ĐẠT,PHÓ TƯ LỆNH QUÂN KHU 3,E8
THIẾU TƯỚNG ĐOÀN KIỂU,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E9
THIẾU TƯỚNG NGUYỄN VĂN TIỀN,PHÓ TƯ LỆNH QUÂN KHU 9,E10
THIẾU TƯỚNG NGUYỄN ĐÌNH TIẾN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E11
THIẾU TƯỚNG TRẦN NGỌC HỮU,PHÓ TƯ LỆNH BỘ ĐỘI BIÊN PHÒNG,E12
THIẾU TƯỚNG CAO PHI HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,E13
THIẾU TƯỚNG VŨ HẢI ĐĂNG,PHÓ CHÁNH THANH TRA BỘ QUỐC PHÒNG,E14
THIẾU TƯỚNG ĐẶNG LÊ NHỊ,NGUYÊN PHÓ TMT QUÂN KHU,E15
THIẾU TƯỚNG VŨ VIẾT HOÀNG,TƯ LỆNH BINH CHỦNG TTLL,E16
THIẾU TƯỚNG NGUYỄN NGỌC ÂN,NGUYÊN PHÓ TMT QUÂN KHU,E17
THIẾU TƯỚNG NGUYỄN QUỐC DUẨN,CHÍNH ỦY BINH CHỦNG ĐẶC CÔNG,E18
TRUNG TƯỚNG NGUYỄN NGỌC CẢ,NGUYÊN HIỆU TRƯỞNG TRƯỜNG SQLQ2,E19
THIẾU TƯỚNG NGUYỄN MINH THẮNG CHÍNH ỦY BỘ TƯ LỆNH 386,,E20
ĐẠI TÁ LƯƠNG KẾ ĐIỀM,CHỦ NHIỆM HC - KT QUÂN KHU,F1
ĐỒNG CHÍ BÙI QUỐC KHÁNH,SỸ QUAN BIỆT PHÁI VỤ THAM MƯU TH VĂN PHÒNG TWĐ,F2
ĐẠI TÁ TRƯƠNG QUANG SINH,PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,F3
ĐỒNG CHÍ PHẠM VĂN HỌC,KIỂM TOÁN TRƯỞNG KIỂM TOÁN NN CHUYÊN NGÀNH Ia,F4
ĐẠI BIỂU TRUNG ƯƠNG HỘI CỰU CHIẾN BINH VIỆT NAM,,F5
ĐỒNG CHÍ NGUYỄN THẾ HÒA,VỤ TRƯỞNG VỤ ĐỊA PHƯƠNG II BAN TG & DV,F6
ĐẠI TÁ PHẠM ĐỚI,NGUYÊN PHÓ TMT QUÂN KHU,F7
THIẾU TƯỚNG ĐÀM THUẬN CÔNG PHÓ VIỆN TRƯỞNG KIỂM SÁT QUÂN SỰ TW,,F8
THIẾU TƯỚNG NGUYỄN VIẾT HOÀNG,NGUYÊN PHÓ TMT QUÂN KHU,F9
THIẾU TƯỚNG HOÀNG VĂN SỸ,TƯ LỆNH BINH ĐOÀN 15,F10
THIẾU TƯỚNG PHẠM NGỌC TÍNH,NGUYÊN PHÓ TMT QUÂN KHU,F11
THIẾU TƯỚNG TRẦN QUANG TUẤN,TƯ LỆNH CẢNH SÁT BIỂN VÙNG 2,F12
ĐẠI TÁ KHÚC NGỌC PHƯƠNG,NGUYÊN PHÓ TMT QUÂN KHU,F13
THIẾU TƯỚNG DƯƠNG MINH HẢI,CỤC TRƯỞNG CỤC KHOA HỌC QUÂN SỰ,F14
THIẾU TƯỚNG NGUYỄN NGỌC MINH,NGUYÊN PHÓ TMT QUÂN KHU,F15
THIẾU TƯỚNG BÙI TRỌNG HIẾU,PHÓ CỤC TRƯỞNG CỤC ĐỐI NGOẠI,F16
THIẾU TƯỚNG NGUYỄN ĐỨC LIÊN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F17
THIẾU TƯỚNG HOÀNG HỮU QUÝ,PHÓ CHÁNH ÁN TÒA ÁN QUÂN SỰ TRUNG ƯƠNG,F18
THIẾU TƯỚNG HÀ HUY LONG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F19
THIẾU TƯỚNG LÊ QUANG TRÍ,PHÓ GIÁM ĐỐC BỆNH VIỆN QUÂN Y 175,F20
ĐẠI TÁ VÕ VĂN BÁ,PHÓ TMT QUÂN KHU,G1
THIẾU TƯỚNG NGUYỄN VĂN THANH,PHÓ TƯ LỆNH CẢNH VỆ BỘ CÔNG AN,G2
ĐẠI TÁ ĐỖ THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,G3
ĐỒNG CHÍ VŨ NHẬT CHUNG,PHÓ VỤ TRƯỞNG VỤ THAM MƯU TH VĂN PHÒNG TWĐ,G4
ĐẠI TÁ NGUYỄN THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,G5
ĐỒNG CHÍ NGUYỄN THỊ MỸ YÊN,PHÓ VỤ TRƯỞNG VỤ ĐỊA BÀN V UBKT TRUNG ƯƠNG,G6
ĐẠI TÁ TẠ KÍNH,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,G7
THIẾU TƯỚNG NGUYỄN KHẮC HUY,PHÓ CỤC TRƯỞNG CỤC QH - NT,G8
ĐẠI TÁ DƯƠNG HỮU QUYÊN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK,G9
THIẾU TƯỚNG NGUYỄN XUÂN THỦY,PHÓ CỤC TRƯỞNG CỤC TUYÊN HUẤN/TCCT,G10
THIẾU TƯỚNG TRƯƠNG HỒNG QUANG,NGUYÊN PHÓ TMT QUÂN KHU,G11
THIẾU TƯỚNG TRẦN TRUNG THIẾT PHÓ CỤC TRƯỞNG CỤC TỔ CHỨC/TCCT,,G12
ĐẠI TÁ LÊ XUÂN THỊNH,NGUYÊN PHÓ TMT QUÂN KHU,G13
CHUẨN ĐÔ ĐỐC NGUYỄN ĐĂNG TIẾN,CHÍNH ỦY VÙNG 3 HẢI QUÂN,G14
ĐẠI TÁ TRƯƠNG QUANG NHẠN,NGUYÊN PHÓ TMT QUÂN KHU,G15
CHUẨN ĐÔ ĐỐC NGUYỄN ANH TUẤN,TƯ LỆNH VÙNG 4 HẢI QUÂN,G16
THIẾU TƯỚNG ĐỖ QUANG DỰ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,G17
ĐẠI TÁ LÊ MẠNH TRƯỜNG,CỤC ĐT - HS BỘ QUỐC PHÒNG,G18
ĐẠI TÁ ĐOÀN HỒNG CHƯƠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G19
ĐẠI TÁ NGUYỄN THIỆN THANH,PHÓ CHÍNH ỦY BINH CHỦNG TĂNG-THIẾT GIÁP,G20
ĐẠI TÁ ĐỖ XUÂN HÙNG,PHÓ TMT QUÂN KHU,H1
ĐẠI TÁ SÁI MINH HẢI,TRƯỞNG PHÒNG CẢNH VỆ MIỀN TRUNG / BTL CẢNH VỆ,H2
