rank_name,position,seat
ĐẠI TÁ PHẠM ANH TUẤN,TƯ LỆNH VÙNG 3 HẢI QUÂN,G14
CHUẨN ĐÔ ĐỐC NGUYỄN ANH TUẤN,TƯ LỆNH VÙNG 4 HẢI QUÂN,G12
THIẾU TƯỚNG TRẦN TRUNG THIẾT,PHÓ CỤC TRƯỞNG CỤC TỔ CHỨC/TCCT,G10
THIẾU TƯỚNG NGUYỄN XUÂN THỦY,PHÓ CỤC TRƯỞNG CỤC TUYÊN HUẤN/TCCT,G8
ĐỒNG CHÍ NGUYỄN THỊ MỸ YÊN,PHÓ VỤ TRƯỞNG VỤ ĐỊA BÀN V UBKT TRUNG ƯƠNG,G6
ĐỒNG CHÍ BÙI QUỐC KHÁNH,SỸ QUAN BIỆT PHÁI VỤ THAM MƯU TH VĂN PHÒNG TWĐ,G4
ĐẠI TÁ VÕ VĂN BÁ,PHÓ TMT QUÂN KHU,G1
ĐẠI TÁ NGUYỄN VĂN HÒA,PHÓ TMT QUÂN KHU,G3
ĐẠI TÁ NGUYỄN THANH XUÂN,PHÓ CN CHÍNH TRỊ QUÂN KHU,G5
ĐẠI TÁ TẠ KÍNH,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,G7
ĐẠI TÁ KHÚC NGỌC PHƯƠNG,NGUYÊN PHÓ TMT QUÂN KHU,G9
ĐẠI TÁ DƯƠNG HỮU QUYÊN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QK,G11
ĐẠI TÁ LÊ XUÂN THỊNH,NGUYÊN PHÓ TMT QUÂN KHU,G13
ĐẠI TÁ ĐOÀN HỒNG CHƯƠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G15
ĐẠI TÁ PHAN VĂN HẠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G17
ĐẠI TÁ TRỊNH VĂN TÂM,NGUYÊN PHÓ CN CHÍNH TRỊ QUÂN KHU,G19
ĐẠI BIỂU LÃNH ĐẠO THÔNG TẤN XÃ,VIỆT NAM,H20
